index, address, array, ip_fold_1, pf_degree, valid, ppf_prediction
1, 57574496, ( 335 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
2, 72525789, ( 332 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
3, 72525788, ( 329 331 ), ( 0 0 ), ( 1 2 ), ( 1 1 ), ( 1 1 )
4, 72525787, ( 326 328 330 ), ( 0 0 931 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 0 )
5, 72525786, ( 323 325 327 ), ( 0 0 931 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 0 )
6, 72525785, ( 320 322 324 ), ( 0 0 931 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 0 )
7, 72525784, ( 317 319 321 ), ( 0 0 931 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 0 )
8, 72525783, ( 314 316 318 ), ( 0 0 931 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 0 )
9, 72525782, ( 311 313 315 ), ( 0 0 931 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 0 )
10, 72525781, ( 308 310 312 ), ( 0 0 931 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 0 )
11, 72525780, ( 305 307 309 ), ( 0 0 931 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 0 )
12, 72525779, ( 302 304 306 ), ( 0 0 931 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 0 )
13, 72525778, ( 299 301 303 ), ( 0 0 931 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 0 )
14, 72525777, ( 296 298 300 ), ( 0 0 931 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 0 )
15, 72525776, ( 293 295 297 ), ( 0 0 931 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 0 )
16, 72525775, ( 292 294 ), ( 0 931 ), ( 2 3 ), ( 1 1 ), ( 1 0 )
17, 72525774, ( 291 ), ( 931 ), ( 3 ), ( 1 ), ( 0 )
18, 66448407, ( 290 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
19, 66448406, ( 287 289 ), ( 0 0 ), ( 1 2 ), ( 1 1 ), ( 1 1 )
20, 66448405, ( 284 286 288 ), ( 0 0 931 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 0 )
21, 66448404, ( 281 283 285 ), ( 0 0 931 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 0 )
22, 66448403, ( 278 280 282 ), ( 0 0 931 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 0 )
23, 66448402, ( 275 277 279 ), ( 0 0 931 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 0 )
24, 66448401, ( 274 276 ), ( 0 931 ), ( 2 3 ), ( 1 1 ), ( 1 0 )
25, 66448400, ( 273 ), ( 931 ), ( 3 ), ( 1 ), ( 0 )
26, 66448399, ( 272 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
27, 66448398, ( 269 271 ), ( 0 0 ), ( 1 2 ), ( 1 1 ), ( 1 1 )
28, 66448397, ( 266 268 270 ), ( 0 0 931 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 0 )
